ReservationId,GuestId,Hotel,Reservation Status,Source,Source,BookingDateTime,ArrivalDate,DepartureDate,ActualArrivalDateTime,ActualDepartureDateTime,NumberOfPersons
93,3985156,Hotel1,Cancelled,OTA,Online Travel Agency,22/04/2018,01/10/2018,02/10/2018,NULL,NULL,2
94,3992293,Hotel2,Cancelled,OTA,Online Travel Agency,24/04/2018,01/10/2018,03/10/2018,NULL,NULL,2
95,42111,Hotel1,Checked Out,WEB,Website,25/04/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,1
96,1932220,Hotel1,Checked Out,WEB,Website,25/04/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,1
97,1932220,Hotel1,Checked Out,WEB,Website,25/04/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,1
98,5144590,Hotel2,Checked Out,OTA,Online Travel Agency,26/04/2018,04/10/2018,06/10/2018,04/10/2018,06/10/2018,2
99,5139421,Hotel2,Checked Out,OTA,Online Travel Agency,01/05/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,2
100,5139420,Hotel2,Checked Out,OTA,Online Travel Agency,01/05/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,2
101,5139450,Hotel2,Checked Out,OTA,Online Travel Agency,01/05/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,2
102,5157168,Hotel1,Checked Out,GDS,Corporate Booking System,03/05/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,2
103,4032585,Hotel2,Cancelled,OTA,Online Travel Agency,05/05/2018,05/10/2018,07/10/2018,NULL,NULL,2
104,4032585,Hotel2,Cancelled,OTA,Online Travel Agency,05/05/2018,05/10/2018,07/10/2018,NULL,NULL,2
105,4032585,Hotel2,Cancelled,OTA,Online Travel Agency,05/05/2018,05/10/2018,07/10/2018,NULL,NULL,2
106,4032585,Hotel2,Cancelled,OTA,Online Travel Agency,05/05/2018,05/10/2018,07/10/2018,NULL,NULL,2
107,4032585,Hotel2,Cancelled,OTA,Online Travel Agency,05/05/2018,05/10/2018,07/10/2018,NULL,NULL,2
108,4032585,Hotel2,Cancelled,OTA,Online Travel Agency,05/05/2018,05/10/2018,07/10/2018,NULL,NULL,2
109,5158060,Hotel1,Cancelled,OTA,Online Travel Agency,07/05/2018,06/10/2018,07/10/2018,NULL,NULL,1
110,4038483,Hotel1,Cancelled,OTA,Online Travel Agency,07/05/2018,06/10/2018,07/10/2018,NULL,NULL,2
111,2154105,Hotel1,Cancelled,WEB,Website,08/05/2018,02/10/2018,03/10/2018,NULL,NULL,2
112,4133544,Hotel1,Checked Out,WEB,Website,12/05/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,2
113,4135291,Hotel1,Cancelled,OTA,Online Travel Agency,12/05/2018,05/10/2018,06/10/2018,NULL,NULL,1
114,2267457,Hotel2,Checked Out,WEB,Website,14/05/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
115,4228402,Hotel2,Checked Out,WEB,Website,14/05/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
116,5154180,Hotel2,Checked Out,WEB,Website,14/05/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
117,5133979,Hotel1,Checked Out,OTA,Online Travel Agency,16/05/2018,02/10/2018,03/10/2018,02/10/2018,03/10/2018,2
118,4312066,Hotel1,Cancelled,OTA,Online Travel Agency,20/05/2018,04/10/2018,05/10/2018,NULL,NULL,2
119,5143198,Hotel1,Checked Out,OTA,Online Travel Agency,21/05/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
120,3353638,Hotel2,Checked Out,WEB,Website,23/05/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
121,3353638,Hotel2,Checked Out,WEB,Website,23/05/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
122,3353638,Hotel2,Checked Out,WEB,Website,23/05/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
123,3353638,Hotel2,Checked Out,WEB,Website,23/05/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
124,1711315,Hotel2,Checked Out,WEB,Website,23/05/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,1
125,504,Hotel2,Checked Out,WEB,Website,24/05/2018,03/10/2018,06/10/2018,03/10/2018,06/10/2018,2
126,5154132,Hotel1,Checked Out,OTA,Online Travel Agency,24/05/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
127,109095,Hotel1,Checked Out,WEB,Website,25/05/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
128,250198,Hotel1,Checked Out,WEB,Website,27/05/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,1
129,4340335,Hotel2,Cancelled,OTA,Online Travel Agency,28/05/2018,04/10/2018,07/10/2018,NULL,NULL,2
130,4344631,Hotel1,Checked Out,OTA,Online Travel Agency,29/05/2018,01/10/2018,02/10/2018,01/10/2018,02/10/2018,1
131,4346419,Hotel2,Checked Out,OTA,Online Travel Agency,29/05/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
132,863284,Hotel1,Checked Out,OTA,Online Travel Agency,29/05/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,1
133,5153847,Hotel2,Checked Out,OTA,Online Travel Agency,30/05/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,1
134,4347238,Hotel2,Cancelled,OTA,Online Travel Agency,30/05/2018,05/10/2018,08/10/2018,NULL,NULL,2
135,4347778,Hotel1,Checked Out,OTA,Online Travel Agency,30/05/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
136,4349334,Hotel2,Cancelled,OTA,Online Travel Agency,30/05/2018,03/10/2018,04/10/2018,NULL,NULL,1
137,3070065,Hotel1,Checked Out,WEB,Website,30/05/2018,02/10/2018,03/10/2018,02/10/2018,03/10/2018,1
138,4351918,Hotel2,Cancelled,OTA,Online Travel Agency,31/05/2018,04/10/2018,06/10/2018,NULL,NULL,2
139,5151586,Hotel2,Checked Out,OTA,Online Travel Agency,31/05/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
140,5151586,Hotel2,Checked Out,OTA,Online Travel Agency,31/05/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
141,5141755,Hotel1,Checked Out,OTA,Online Travel Agency,01/06/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,2
142,4356427,Hotel1,Checked Out,OTA,Online Travel Agency,01/06/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,2
143,4360741,Hotel2,Cancelled,OTA,Online Travel Agency,02/06/2018,05/10/2018,06/10/2018,NULL,NULL,2
144,75321,Hotel1,Checked Out,WEB,Website,03/06/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,1
145,5137728,Hotel1,Checked Out,WEB,Website,04/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
146,5137657,Hotel1,Checked Out,WEB,Website,04/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
147,5137732,Hotel1,Checked Out,WEB,Website,04/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
148,5137734,Hotel1,Checked Out,WEB,Website,04/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
149,5137735,Hotel1,Checked Out,WEB,Website,04/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
150,95436,Hotel1,Cancelled,OTA,Online Travel Agency,04/06/2018,03/10/2018,04/10/2018,NULL,NULL,1
151,95428,Hotel1,Cancelled,OTA,Online Travel Agency,04/06/2018,03/10/2018,04/10/2018,NULL,NULL,1
152,5154013,Hotel2,Checked Out,OTA,Online Travel Agency,05/06/2018,06/10/2018,08/10/2018,06/10/2018,08/10/2018,2
153,5154987,Hotel2,Checked Out,OTA,Online Travel Agency,05/06/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
154,5155180,Hotel1,Checked Out,OTA,Online Travel Agency,06/06/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
155,5122662,Hotel1,Checked Out,OTA,Online Travel Agency,06/06/2018,01/10/2018,02/10/2018,01/10/2018,02/10/2018,2
156,5146506,Hotel1,Checked Out,OTA,Online Travel Agency,06/06/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,1
157,4383189,Hotel1,Cancelled,OTA,Online Travel Agency,07/06/2018,07/10/2018,08/10/2018,NULL,NULL,1
158,2310391,Hotel1,Cancelled,OTA,Online Travel Agency,07/06/2018,07/10/2018,08/10/2018,NULL,NULL,2
159,5146602,Hotel1,Checked Out,GDS,Corporate Booking System,07/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,1
160,520402,Hotel1,Checked Out,WEB,Website,07/06/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
161,229885,Hotel1,Checked Out,WEB,Website,07/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
162,29116,Hotel1,Checked Out,WEB,Website,07/06/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,1
163,4387389,Hotel1,Checked Out,WEB,Website,08/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
164,4397502,Hotel1,Checked Out,OTA,Online Travel Agency,11/06/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,1
165,4406356,Hotel1,Checked Out,WEB,Website,13/06/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,1
166,4406848,Hotel1,Cancelled,OTA,Online Travel Agency,13/06/2018,01/10/2018,02/10/2018,NULL,NULL,2
167,4409751,Hotel2,Cancelled,OTA,Online Travel Agency,14/06/2018,03/10/2018,04/10/2018,NULL,NULL,2
168,4412335,Hotel1,Cancelled,OTA,Online Travel Agency,14/06/2018,06/10/2018,08/10/2018,NULL,NULL,2
169,5151022,Hotel1,Cancelled,OTA,Online Travel Agency,14/06/2018,05/10/2018,06/10/2018,NULL,NULL,1
170,4416417,Hotel1,Checked Out,WEB,Website,15/06/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,2
171,1788459,Hotel2,Checked Out,WEB,Website,17/06/2018,04/10/2018,07/10/2018,04/10/2018,07/10/2018,2
172,1788459,Hotel1,Checked Out,WEB,Website,17/06/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,2
173,4424752,Hotel2,Cancelled,OTA,Online Travel Agency,18/06/2018,03/10/2018,07/10/2018,NULL,NULL,2
174,5129977,Hotel1,Checked Out,WEB,Website,18/06/2018,01/10/2018,05/10/2018,01/10/2018,05/10/2018,1
175,5140212,Hotel1,Checked Out,OTA,Online Travel Agency,18/06/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
176,4429377,Hotel1,Checked Out,OTA,Online Travel Agency,19/06/2018,01/10/2018,02/10/2018,01/10/2018,02/10/2018,2
177,4433425,Hotel1,Checked Out,WEB,Website,19/06/2018,02/10/2018,03/10/2018,02/10/2018,03/10/2018,2
178,5148106,Hotel1,Checked Out,OTA,Online Travel Agency,20/06/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
179,5150427,Hotel2,Checked Out,OTA,Online Travel Agency,20/06/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
180,5150425,Hotel2,Checked Out,OTA,Online Travel Agency,20/06/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
181,4434918,Hotel2,Cancelled,OTA,Online Travel Agency,20/06/2018,05/10/2018,07/10/2018,NULL,NULL,2
182,5150428,Hotel2,Checked Out,OTA,Online Travel Agency,20/06/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
183,5141299,Hotel1,Checked Out,OTA,Online Travel Agency,20/06/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,1
184,5159128,Hotel1,Checked Out,OTA,Online Travel Agency,20/06/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,1
185,73572,Hotel1,Checked Out,WEB,Website,20/06/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
186,5138740,Hotel1,Checked Out,OTA,Online Travel Agency,22/06/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
187,5146476,Hotel1,Checked Out,OTA,Online Travel Agency,22/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
188,1658170,Hotel1,Checked Out,OTA,Online Travel Agency,23/06/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
189,34992,Hotel1,Checked Out,WEB,Website,23/06/2018,05/10/2018,06/10/2018,05/10/2018,06/10/2018,2
190,5144385,Hotel1,Checked Out,OTA,Online Travel Agency,24/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
191,4453626,Hotel1,Checked Out,OTA,Online Travel Agency,24/06/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,1
192,4453921,Hotel2,Cancelled,OTA,Online Travel Agency,25/06/2018,01/10/2018,02/10/2018,NULL,NULL,2
193,4453921,Hotel2,No Show,OTA,Online Travel Agency,25/06/2018,01/10/2018,02/10/2018,NULL,NULL,2
194,4455435,Hotel2,Checked Out,DIR,Phone/walk-in,25/06/2018,03/10/2018,06/10/2018,03/10/2018,06/10/2018,1
195,4455441,Hotel2,Checked Out,DIR,Phone/walk-in,25/06/2018,03/10/2018,06/10/2018,03/10/2018,06/10/2018,1
196,5140528,Hotel2,Checked Out,DIR,Phone/walk-in,25/06/2018,03/10/2018,06/10/2018,03/10/2018,06/10/2018,1
197,5140516,Hotel2,Checked Out,DIR,Phone/walk-in,25/06/2018,03/10/2018,06/10/2018,03/10/2018,06/10/2018,1
198,4455450,Hotel2,Checked Out,DIR,Phone/walk-in,25/06/2018,03/10/2018,06/10/2018,03/10/2018,06/10/2018,1
199,4455451,Hotel2,Checked Out,DIR,Phone/walk-in,25/06/2018,03/10/2018,06/10/2018,03/10/2018,06/10/2018,1
200,4455460,Hotel2,Checked Out,DIR,Phone/walk-in,25/06/2018,03/10/2018,06/10/2018,03/10/2018,06/10/2018,1
201,4455465,Hotel2,Checked Out,DIR,Phone/walk-in,25/06/2018,03/10/2018,06/10/2018,03/10/2018,06/10/2018,1
202,4455466,Hotel2,Checked Out,DIR,Phone/walk-in,25/06/2018,03/10/2018,06/10/2018,03/10/2018,06/10/2018,1
203,4455129,Hotel1,Cancelled,OTA,Online Travel Agency,25/06/2018,03/10/2018,04/10/2018,NULL,NULL,2
204,4463019,Hotel1,Checked Out,OTA,Online Travel Agency,27/06/2018,07/10/2018,08/10/2018,07/10/2018,08/10/2018,2
205,5141004,Hotel1,Checked Out,OTA,Online Travel Agency,27/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,2
206,5180212,Hotel1,Checked Out,GDS,Corporate Booking System,27/06/2018,04/10/2018,05/10/2018,04/10/2018,05/10/2018,1
207,2707591,Hotel1,Checked Out,WEB,Website,27/06/2018,01/10/2018,02/10/2018,01/10/2018,02/10/2018,1
208,2707591,Hotel1,Checked Out,WEB,Website,27/06/2018,01/10/2018,02/10/2018,01/10/2018,02/10/2018,2
209,4498519,Hotel1,Checked Out,WEB,Website,28/06/2018,06/10/2018,07/10/2018,06/10/2018,07/10/2018,2
210,5151457,Hotel2,Cancelled,OTA,Online Travel Agency,28/06/2018,05/10/2018,07/10/2018,NULL,NULL,2
211,5151457,Hotel2,Cancelled,OTA,Online Travel Agency,28/06/2018,05/10/2018,07/10/2018,NULL,NULL,2
212,5151457,Hotel2,Checked Out,OTA,Online Travel Agency,28/06/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
213,5151457,Hotel2,Checked Out,OTA,Online Travel Agency,28/06/2018,05/10/2018,07/10/2018,05/10/2018,07/10/2018,2
214,4424752,Hotel2,Cancelled,OTA,Online Travel Agency,29/06/2018,03/10/2018,08/10/2018,NULL,NULL,2
215,5141346,Hotel1,Checked Out,OTA,Online Travel Agency,29/06/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,1
216,5141343,Hotel1,Checked Out,OTA,Online Travel Agency,29/06/2018,03/10/2018,04/10/2018,03/10/2018,04/10/2018,1
