Reservation Id,Invoice Line Id,Revenue Group,Description,Quantity,Total,Vat (already included in Total),Posting Date
88,5,Food & Beverage,Boxer/Tshirt,4,19,3.29,08/10/2018
88,6,Room revenue,Room Rental Charge,1,98.1,5.55,08/10/2018
88,7,City Tax,City Tax,1,4.16,0,08/10/2018
88,8,Room revenue,Room Rental Charge,1,98.1,5.55,09/10/2018
88,9,City Tax,City Tax,1,4.16,0,09/10/2018
88,10,Food & Beverage,Double Loopuyt s,1,9,1.56,10/10/2018
88,11,Food & Beverage,Undemid'unlitredemi Rose,1,4.95,0.85,10/10/2018
88,12,Food & Beverage,Pantalon,1,8.25,1.43,10/10/2018
88,13,Food & Beverage,2 Chefs Howling Wolf,1,5.5,0.95,10/10/2018
88,14,Room revenue,Room Rental Charge,1,102.6,5.8,10/10/2018
88,15,City Tax,City Tax,1,4.36,0,10/10/2018
88,16,Room revenue,Room Rental Charge,1,84.6,4.78,11/10/2018
88,17,City Tax,City Tax,1,3.59,0,11/10/2018
88,18,Room revenue,Room Rental Charge,1,71.1,4.02,12/10/2018
88,19,City Tax,City Tax,1,3.02,0,12/10/2018
90,1,Food & Beverage,Discount Breakfast prebooked,2,-27.9,-1.57,05/10/2018
90,2,Room revenue,Room Rental Charge,1,116.1,6.57,05/10/2018
90,3,City Tax,City Tax,1,6.63,0,05/10/2018
90,4,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,06/10/2018
90,5,Room revenue,Room Rental Charge,1,111.6,6.31,06/10/2018
90,6,City Tax,City Tax,1,6.37,0,06/10/2018
90,7,Room revenue,Room Rental Charge,1,116.1,6.57,07/10/2018
90,8,City Tax,City Tax,1,6.63,0,07/10/2018
92,1,City Tax,City Tax,1,6.11,0,05/10/2018
95,1,Room revenue,Room Rental Charge,1,133.2,7.53,07/10/2018
95,2,City Tax,City Tax,1,7.6,0,07/10/2018
95,3,Reservation Upgrades,Breakfast prebooked,1,13.95,0.78,08/10/2018
96,1,Room revenue,Room Rental Charge,1,162,9.16,03/10/2018
96,2,City Tax,City Tax,1,9.25,0,03/10/2018
97,1,Room revenue,Room Rental Charge,1,162,9.16,03/10/2018
97,2,City Tax,City Tax,1,9.25,0,03/10/2018
98,1,Room revenue,Room Rental Charge,1,89.1,5.04,04/10/2018
98,2,City Tax,City Tax,1,3.78,0,04/10/2018
98,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,05/10/2018
98,4,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
98,5,City Tax,City Tax,1,3.02,0,05/10/2018
98,6,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,06/10/2018
99,1,Reservation Upgrades,Parking,2,39,6.76,03/10/2018
99,2,Room revenue,Room Rental Charge,1,107.1,6.06,03/10/2018
99,3,City Tax,City Tax,1,4.55,0,03/10/2018
99,4,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,04/10/2018
100,1,Room revenue,Room Rental Charge,1,107.1,6.06,03/10/2018
100,2,City Tax,City Tax,1,4.55,0,03/10/2018
100,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,04/10/2018
101,1,Room revenue,Room Rental Charge,1,107.1,6.06,03/10/2018
101,2,City Tax,City Tax,1,4.55,0,03/10/2018
101,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,04/10/2018
102,1,Food & Beverage,Discount Breakfast prebooked,2,-27.9,-1.57,07/10/2018
102,2,Room revenue,Room Rental Charge,1,159,9,07/10/2018
102,3,City Tax,City Tax,1,9.08,0,07/10/2018
102,4,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,08/10/2018
112,1,Room revenue,Room Rental Charge,1,157.5,8.91,03/10/2018
112,2,City Tax,City Tax,1,8.99,0,03/10/2018
114,1,Food & Beverage,Bassac le Manpot gl,2,13,2.25,06/10/2018
114,2,Food & Beverage,Tea bag,2,5.5,0.31,06/10/2018
114,3,Food & Beverage,Cappuccino,1,3,0.16,06/10/2018
114,4,Room revenue,Room Rental Charge,1,89.1,5.04,06/10/2018
114,5,City Tax,City Tax,1,3.78,0,06/10/2018
114,6,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
115,1,Room revenue,Room Rental Charge,1,89.1,5.04,06/10/2018
115,2,City Tax,City Tax,1,3.78,0,06/10/2018
115,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
116,1,Room revenue,Room Rental Charge,1,89.1,5.04,06/10/2018
116,2,City Tax,City Tax,1,3.78,0,06/10/2018
116,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
117,1,Room revenue,Room Rental Charge,1,184,10.41,02/10/2018
117,2,City Tax,City Tax,1,10.5,0,02/10/2018
119,1,Room revenue,Room Rental Charge,1,119,6.73,06/10/2018
119,2,City Tax,City Tax,1,6.79,0,06/10/2018
120,1,Room revenue,Room Rental Charge,1,91.52,5.18,06/10/2018
120,2,City Tax,City Tax,1,3.89,0,06/10/2018
121,1,Room revenue,Room Rental Charge,1,91.52,5.18,06/10/2018
121,2,City Tax,City Tax,1,3.89,0,06/10/2018
122,1,Room revenue,Room Rental Charge,1,91.52,5.18,06/10/2018
122,2,City Tax,City Tax,1,3.89,0,06/10/2018
123,1,Room revenue,Room Rental Charge,1,91.52,5.18,06/10/2018
123,2,City Tax,City Tax,1,3.89,0,06/10/2018
124,1,Room revenue,Room Rental Charge,1,65.12,3.68,07/10/2018
124,2,City Tax,City Tax,1,2.76,0,07/10/2018
125,1,Reservation Upgrades,Parking,2,39,6.76,03/10/2018
125,2,Room revenue,Room Rental Charge,1,109.65,6.2,03/10/2018
125,3,City Tax,City Tax,1,4.65,0,03/10/2018
125,4,Reservation Upgrades,Beverage low,2,0,0,03/10/2018
125,5,Food & Beverage,Cafe Latte,1,3,0.16,04/10/2018
125,6,Food & Beverage,Croissant,1,1.5,0.08,04/10/2018
125,7,Room revenue,Room Rental Charge,1,75.65,4.28,04/10/2018
125,8,City Tax,City Tax,1,3.21,0,04/10/2018
125,9,Food & Beverage,Cafe Latte,1,3,0.16,05/10/2018
125,10,Room revenue,Room Rental Charge,1,67.15,3.8,05/10/2018
125,11,City Tax,City Tax,1,2.85,0,05/10/2018
126,1,Room revenue,Room Rental Charge,1,119,6.73,06/10/2018
126,2,City Tax,City Tax,1,6.79,0,06/10/2018
126,3,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
127,1,Food & Beverage,Citizen Mojito,1,9.5,1.64,04/10/2018
127,2,Food & Beverage,Blackberry Islander,1,11,1.9,04/10/2018
127,3,Food & Beverage,Grolsch pint,1,6,1.04,04/10/2018
127,4,Food & Beverage,Chicken tikka masala,1,16.5,0.93,04/10/2018
127,5,Food & Beverage,Beef panang curry,1,17.5,0.99,04/10/2018
127,6,Food & Beverage,Montes Pinot Noir gl,1,5.5,0.95,04/10/2018
127,7,Food & Beverage,Grolsch pint,1,6,1.04,04/10/2018
127,8,Food & Beverage,Grolsch pint,1,6,1.04,04/10/2018
127,9,Room revenue,Room Rental Charge,1,153.12,8.66,04/10/2018
127,10,City Tax,City Tax,1,8.74,0,04/10/2018
127,11,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,05/10/2018
128,1,Room revenue,Room Rental Charge,1,121.44,6.87,07/10/2018
128,2,City Tax,City Tax,1,6.93,0,07/10/2018
130,1,City Tax,City Tax,1,8.2,0,01/10/2018
131,1,City Tax,City Tax,1,2.82,0,05/10/2018
131,2,City Tax,City Tax,1,3.89,0,06/10/2018
132,1,Room revenue,Room Rental Charge,1,189,10.69,03/10/2018
132,2,City Tax,City Tax,1,10.79,0,03/10/2018
132,3,Reservation Upgrades,Breakfast prebooked,1,13.95,0.78,04/10/2018
133,1,Food & Beverage,Vitamin well Focus Blackcurrant,1,4.25,0.24,06/10/2018
133,2,Food & Beverage,Avocado & Egg sandwich,1,6,0.33,06/10/2018
133,3,Room revenue,Room Rental Charge,1,98.1,5.55,06/10/2018
133,4,City Tax,City Tax,1,4.16,0,06/10/2018
133,5,Reservation Upgrades,Breakfast prebooked,1,13.95,0.78,07/10/2018
135,1,City Tax,City Tax,1,5.64,0,05/10/2018
137,1,Room revenue,Room Rental Charge,1,175,9.9,02/10/2018
137,2,City Tax,City Tax,1,9.99,0,02/10/2018
137,3,Reservation Upgrades,Breakfast prebooked,1,13.95,0.78,03/10/2018
139,1,Food & Beverage,Grolsch pint,2,12,2.08,05/10/2018
139,2,Food & Beverage,Grolsch pint,2,12,2.08,05/10/2018
139,3,Food & Beverage,Grolsch half pint,1,4,0.69,05/10/2018
139,4,Food & Beverage,The Founder Sauv gl,1,4.95,0.85,05/10/2018
139,5,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
139,6,City Tax,City Tax,1,3.02,0,05/10/2018
139,7,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,06/10/2018
139,8,Food & Beverage,Grolsch half pint,1,4,0.69,06/10/2018
139,9,Food & Beverage,Grolsch pint,1,6,1.04,06/10/2018
139,10,Food & Beverage,Grolsch pint,1,6,1.04,06/10/2018
139,11,Food & Beverage,Grolsch half pint,1,4,0.69,06/10/2018
139,12,Food & Beverage,Grolsch pint,1,6,1.04,06/10/2018
139,13,Room revenue,Room Rental Charge,1,102.6,5.8,06/10/2018
139,14,City Tax,City Tax,1,4.36,0,06/10/2018
139,15,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,07/10/2018
140,1,Food & Beverage,Grolsch pint,1,6,1.04,05/10/2018
140,2,Room revenue,Room Rental Charge,1,71.1,4.02,05/10/2018
140,3,City Tax,City Tax,1,3.02,0,05/10/2018
140,4,Reservation Upgrades,Breakfast prebooked,2,27.9,1.57,06/10/2018
140,5,Room revenue,Room Rental Charge,1,102.6,5.8,06/10/2018
140,6,City Tax,City Tax,1,4.36,0,06/10/2018
140,7,Food & Beverage,Coca Cola reg 0.2ml,1,2.25,0.12,07/10/2018
140,8,Reservation Upgrades,Breakfast prebooked,1,13.95,0.78,07/10/2018
141,1,Room revenue,Room Rental Charge,1,170.1,9.62,03/10/2018
141,2,City Tax,City Tax,1,9.71,0,03/10/2018
142,1,Room revenue,Room Rental Charge,1,170.1,9.62,03/10/2018
142,2,City Tax,City Tax,1,9.71,0,03/10/2018
144,1,Room revenue,Room Rental Charge,1,117.92,6.67,05/10/2018
144,2,City Tax,City Tax,1,6.73,0,05/10/2018
152,1,Room revenue,Room Rental Charge,1,107.1,6.06,06/10/2018
152,2,City Tax,City Tax,1,4.55,0,06/10/2018
152,3,Room revenue,Room Rental Charge,1,71.1,4.02,07/10/2018
152,4,City Tax,City Tax,1,3.02,0,07/10/2018
153,1,Room revenue,Room Rental Charge,1,119,6.73,06/10/2018
153,2,City Tax,City Tax,1,5.05,0,06/10/2018
154,1,Room revenue,Room Rental Charge,1,115,6.5,06/10/2018
154,2,City Tax,City Tax,1,6.56,0,06/10/2018
155,1,Room revenue,Room Rental Charge,1,153,8.66,01/10/2018
155,2,City Tax,City Tax,1,8.73,0,01/10/2018
156,1,Room revenue,Room Rental Charge,1,124,7.01,06/10/2018
156,2,City Tax,City Tax,1,7.08,0,06/10/2018
159,1,Food & Beverage,Westmalle Tripel,2,13,2.25,04/10/2018
159,2,Food & Beverage,Pastrami Melt,1,5.95,0.33,04/10/2018
159,3,Room revenue,Room Rental Charge,1,124,7.01,04/10/2018
159,4,City Tax,City Tax,1,7.08,0,04/10/2018
160,1,Room revenue,Room Rental Charge,1,128,7.24,05/10/2018
160,2,City Tax,City Tax,1,7.31,0,05/10/2018
161,1,Room revenue,Room Rental Charge,1,146.08,8.26,04/10/2018
161,2,City Tax,City Tax,1,8.34,0,04/10/2018
162,1,Room revenue,Room Rental Charge,1,158.4,8.96,03/10/2018
162,2,City Tax,City Tax,1,9.04,0,03/10/2018
162,3,Reservation Upgrades,Breakfast prebooked,1,13.95,0.78,04/10/2018
163,1,Room revenue,Room Rental Charge,1,158.4,8.96,04/10/2018
163,2,City Tax,City Tax,1,9.04,0,04/10/2018
164,1,City Tax,City Tax,1,6.58,0,07/10/2018
165,1,Room revenue,Room Rental Charge,1,112.64,6.37,05/10/2018
165,2,City Tax,City Tax,1,6.43,0,05/10/2018
170,1,Room revenue,Room Rental Charge,1,113.52,6.42,07/10/2018
170,2,City Tax,City Tax,1,6.48,0,07/10/2018
171,1,Room revenue,Room Rental Charge,1,88.88,5.03,04/10/2018
171,2,City Tax,City Tax,1,3.77,0,04/10/2018
171,3,Room revenue,Room Rental Charge,1,72.16,4.08,05/10/2018
171,4,City Tax,City Tax,1,3.06,0,05/10/2018
171,5,Room revenue,Room Rental Charge,1,95.04,5.37,06/10/2018
171,6,City Tax,City Tax,1,4.03,0,06/10/2018
172,1,Room revenue,Room Rental Charge,1,113.52,6.42,07/10/2018
172,2,City Tax,City Tax,1,6.48,0,07/10/2018
174,1,Room revenue,Room Rental Charge,1,130.24,7.37,01/10/2018
174,2,City Tax,City Tax,1,7.43,0,01/10/2018
174,3,Food & Beverage,Cafe Latte,1,3,0.16,02/10/2018
174,4,Room revenue,Room Rental Charge,1,141.68,8.01,02/10/2018
174,5,City Tax,City Tax,1,8.09,0,02/10/2018
174,6,Food & Beverage,Cafe Latte,1,3,0.16,03/10/2018
174,7,Food & Beverage,Extra shot,1,0.75,0.04,03/10/2018
174,8,Room revenue,Room Rental Charge,1,158.4,8.96,03/10/2018
174,9,City Tax,City Tax,1,9.04,0,03/10/2018
174,10,Food & Beverage,Cappuccino double,1,3.75,0.21,04/10/2018
174,11,Room revenue,Room Rental Charge,1,158.4,8.96,04/10/2018
174,12,City Tax,City Tax,1,9.04,0,04/10/2018
175,1,Room revenue,Room Rental Charge,1,128,7.24,05/10/2018
175,2,City Tax,City Tax,1,7.31,0,05/10/2018
176,1,Food & Beverage,Pedales Tempranillo gl,1,4,0.69,01/10/2018
176,2,City Tax,City Tax,1,7.18,0,01/10/2018
177,1,Room revenue,Room Rental Charge,1,141.68,8.01,02/10/2018
177,2,City Tax,City Tax,1,8.09,0,02/10/2018
178,1,Room revenue,Room Rental Charge,1,106,6,06/10/2018
178,2,City Tax,City Tax,1,6.05,0,06/10/2018
179,1,Room revenue,Room Rental Charge,1,84.6,4.78,05/10/2018
179,2,City Tax,City Tax,1,3.59,0,05/10/2018
179,3,Food & Beverage,Cappuccino,2,6,0.33,06/10/2018
179,4,Room revenue,Room Rental Charge,1,107.1,6.06,06/10/2018
179,5,City Tax,City Tax,1,4.55,0,06/10/2018
179,6,Food & Beverage,Cappuccino,2,6,0.33,07/10/2018
180,1,Room revenue,Room Rental Charge,1,84.6,4.78,05/10/2018
180,2,City Tax,City Tax,1,3.59,0,05/10/2018
180,3,Food & Beverage,Cappuccino,1,3,0.16,06/10/2018
